session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
70,0,98803.29999999993,0.0,0.0,9.87321241322371,0.9999149429081328,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83333.29999999993,""cash"":-917659.0,""position"":77,""slope_per_step"":8.380320184720796,""r_squared"":0.999988007951446},""ASH_COATED_OSMIUM"":{""pnl"":15470.0,""cash"":-414573.0,""position"":43,""slope_per_step"":1.4928922285029222,""r_squared"":0.9968531804231768}}"
71,1,101805.0,0.0,0.0,10.248087126284066,0.9998682702591769,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18663.0,""cash"":-431382.0,""position"":45,""slope_per_step"":1.8959071810550718,""r_squared"":0.9979852657645509},""INTARIAN_PEPPER_ROOT"":{""pnl"":83142.0,""cash"":-1036850.0,""position"":80,""slope_per_step"":8.352179945229015,""r_squared"":0.9999672825117878}}"
72,-1,99093.0,0.0,0.0,10.024898164602963,0.9999523286003964,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16266.0,""cash"":-663802.0,""position"":68,""slope_per_step"":1.662508902389089,""r_squared"":0.9983954097647111},""INTARIAN_PEPPER_ROOT"":{""pnl"":82827.0,""cash"":-877165.0,""position"":80,""slope_per_step"":8.362389262213888,""r_squared"":0.9999929521602874}}"
73,0,101273.0,0.0,0.0,10.197243679004398,0.999963400854515,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83186.0,""cash"":-956806.0,""position"":80,""slope_per_step"":8.399182721691798,""r_squared"":0.9999774701109705},""ASH_COATED_OSMIUM"":{""pnl"":18087.0,""cash"":-681983.0,""position"":70,""slope_per_step"":1.7980609573126096,""r_squared"":0.9982212313822695}}"
74,1,99988.79999999993,0.0,0.0,10.14962344069343,0.9998945266886309,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82334.79999999993,""cash"":-925658.0,""position"":72,""slope_per_step"":8.336221308719399,""r_squared"":0.9999349218294249},""ASH_COATED_OSMIUM"":{""pnl"":17654.0,""cash"":-122360.0,""position"":14,""slope_per_step"":1.8134021319740212,""r_squared"":0.9988928213196097}}"
75,-1,98933.0,0.0,0.0,9.94886064489142,0.9999169559216078,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16406.0,""cash"":-663662.0,""position"":68,""slope_per_step"":1.6526676488366765,""r_squared"":0.9990016619563198},""INTARIAN_PEPPER_ROOT"":{""pnl"":82527.0,""cash"":-877465.0,""position"":80,""slope_per_step"":8.29619299605475,""r_squared"":0.9999319630558251}}"
76,0,99018.29999999993,0.0,0.0,9.982556710144182,0.9998013745754712,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82175.29999999993,""cash"":-918817.0,""position"":77,""slope_per_step"":8.265161548610216,""r_squared"":0.9999816583028533},""ASH_COATED_OSMIUM"":{""pnl"":16843.0,""cash"":-783237.0,""position"":80,""slope_per_step"":1.7173951615339516,""r_squared"":0.9956747191327757}}"
77,1,98788.3999999999,0.0,0.0,9.87297598293395,0.9999214356054459,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15934.0,""cash"":-784146.0,""position"":80,""slope_per_step"":1.5584869656628697,""r_squared"":0.9971589448353133},""INTARIAN_PEPPER_ROOT"":{""pnl"":82854.3999999999,""cash"":-981138.0,""position"":76,""slope_per_step"":8.31448901727109,""r_squared"":0.999975459891894}}"
78,-1,97923.40000000002,0.0,0.0,9.811880953101195,0.9999524882324072,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82320.40000000002,""cash"":-829672.0,""position"":76,""slope_per_step"":8.2831199271516,""r_squared"":0.9999819695864047},""ASH_COATED_OSMIUM"":{""pnl"":15603.0,""cash"":-264425.0,""position"":28,""slope_per_step"":1.5287610259496103,""r_squared"":0.9982764448042437}}"
79,0,98610.19999999995,0.0,0.0,9.878521071140401,0.9996281689627708,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15815.0,""cash"":-734260.0,""position"":75,""slope_per_step"":1.5548814841648149,""r_squared"":0.9889698846156509},""INTARIAN_PEPPER_ROOT"":{""pnl"":82795.19999999995,""cash"":-931197.0,""position"":78,""slope_per_step"":8.323639586975606,""r_squared"":0.9999689389498075}}"
